time,expectation,abs_error,pair_signal,triple_signal,high_terms_seen
0,-0.300788741309,0,0,0,0
0.05,-0.285727158292,0.0150615830163,0.0700695503408,1.06941104857e-17,93
0.1,-0.242179944301,0.0586087970079,0.205547168653,3.13747802605e-17,210
0.15,-0.174494988468,0.12629375284,0.329448860289,5.02746661063e-17,322
0.2,-0.0890775364055,0.211711204903,0.436260865477,6.65568326679e-17,332
0.25,0.00615313981883,0.306941881128,0.521454251046,7.95511722673e-17,339
0.3,0.102673202628,0.403461943937,0.581671086799,8.87986778429e-17,372
0.35,0.1920496071,0.492838348409,0.614991929049,9.4126083384e-17,384
0.4,0.266736601342,0.56752534265,0.620635015626,9.53555597762e-17,384
0.45,0.320783278545,0.621572019853,0.59970127693,9.28018657245e-17,392
0.5,0.350279126684,0.651067867993,0.555188224903,8.69788388557e-17,401
